Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment_x,Country,City,State,Region,Category,Product Name,Sub-Category,Sales,Quantity,Discount,Profit_Margin_Pct,Profit,Product ID,Postal Code,Shipping_Days,Profit_Margin,Is_Profitable,Year,Month,Quarter,Year_Month,RFM_Score,Segment_y
11,US-84907-2016,2015-11-27,2015-12-01,Standard Class,CG-1797,Customer_559,Consumer,United States,Chicago,Illinois,Central,Technology,Pens Deluxe,Pens,90.9273532541928,2,0.0,0.0452457231986377,4.11407385652396,Te-Pen-671,75201,4,4.524572319863774,True,2015,11,4,2015-11,444,VIP Customer
12,US-71521-2018,2015-03-29,2015-04-02,Same Day,CG-3526,Customer_711,Consumer,United States,Seattle,Florida,East,Furniture,Software Basic,Software,55.29307111893239,1,0.1,0.0304396332434347,1.4306356848989372,Fu-Sof-519,77001,4,2.5873688256919527,True,2015,3,1,2015-03,443,VIP Customer
13,US-41075-2016,2018-10-28,2018-10-29,Second Class,CG-5751,Customer_264,Consumer,United States,Seattle,Florida,East,Office Supplies,Phones Pro,Phones,42.40213344588141,1,0.0,0.0424719499363439,1.800901288907651,Of-Pho-270,94101,1,4.247194993634396,True,2018,10,4,2018-10,432,Loyal Customer
14,US-64544-2018,2018-01-28,2018-02-02,First Class,CG-8731,Customer_515,Home Office,United States,Phoenix,Florida,West,Office Supplies,Paper Standard,Paper,121.52015031018604,2,0.0,0.0387863681888667,4.713325292297305,Of-Pap-215,90210,5,3.878636818886674,True,2018,1,1,2018-01,321,Loyal Customer
15,US-74555-2015,2017-05-21,2017-05-26,Standard Class,CG-1762,Customer_471,Consumer,United States,Houston,Illinois,West,Technology,Desks Deluxe,Desks,390.82955256521865,3,0.1,0.0623668886233381,20.71859969921245,Te-Des-339,75201,5,5.30118553298374,True,2017,5,2,2017-05,234,At-Risk Customer
16,US-79754-2015,2015-05-11,2015-05-12,Standard Class,CG-9809,Customer_239,Consumer,United States,Chicago,North Carolina,East,Office Supplies,Chairs Pro,Chairs,132.82551211281054,1,0.0,0.0803458336105127,10.67197649544702,Of-Cha-637,90210,1,8.034583361051272,True,2015,5,2,2015-05,131,Lost Customer
17,US-61529-2015,2018-08-25,2018-08-27,Same Day,CG-5806,Customer_289,Consumer,United States,Phoenix,North Carolina,Central,Office Supplies,Phones Standard,Phones,142.57325019375745,4,0.3,0.0450114499491049,3.529585793347645,Of-Pho-254,75201,2,2.4756297472007742,True,2018,8,3,2018-08,443,VIP Customer
18,US-64238-2017,2017-02-08,2017-02-09,Second Class,CG-4863,Customer_368,Consumer,United States,Seattle,Florida,Central,Technology,Bookcases Basic,Bookcases,224.97494596542955,4,0.0,0.0946562378045929,21.295281985379138,Te-Boo-695,90210,1,9.465623780459289,True,2017,2,1,2017-02,212,Lost Customer
19,US-45950-2016,2015-12-10,2015-12-12,First Class,CG-4686,Customer_412,Consumer,United States,Austin,North Carolina,West,Office Supplies,Paper Standard,Paper,211.6130950396115,3,0.15,0.0652492083115012,10.700879862752863,Of-Pap-419,85001,2,5.056813644141344,True,2015,12,4,2015-12,111,Lost Customer
20,US-57096-2015,2018-12-08,2018-12-11,Same Day,CG-1767,Customer_22,Home Office,United States,New York,Georgia,Central,Technology,Bookcases Basic,Bookcases,108.17363635094068,3,0.1,0.0528253310770525,4.8571619309400615,Te-Boo-248,90210,3,4.490153141549468,True,2018,12,4,2018-12,432,Loyal Customer
21,US-65728-2016,2017-03-16,2017-03-19,Second Class,CG-6601,Customer_354,Consumer,United States,Houston,Illinois,East,Technology,Tables Premium,Tables,85.60016032890755,2,0.0,0.098831684649049,8.460008051534631,Te-Tab-934,85001,3,9.883168464904907,True,2017,3,1,2017-03,433,VIP Customer
22,US-35287-2017,2016-01-21,2016-01-22,Standard Class,CG-4185,Customer_542,Home Office,United States,San Diego,Georgia,West,Furniture,Desks Pro,Desks,136.71889793190545,2,0.1,0.0506328517990278,5.884097542545696,Fu-Des-305,90210,1,4.3037924029173675,True,2016,1,1,2016-01,344,VIP Customer
23,US-78122-2015,2018-04-30,2018-05-03,Standard Class,CG-8429,Customer_559,Home Office,United States,Houston,Ohio,Central,Furniture,Chairs Basic,Chairs,50.581901611632894,1,0.0,0.0527816060876792,2.669794006030956,Fu-Cha-685,90210,3,5.2781606087679265,True,2018,4,2,2018-04,442,Loyal Customer
24,US-50081-2016,2017-08-13,2017-08-18,Standard Class,CG-2077,Customer_420,Corporate,United States,Dallas,Texas,South,Furniture,Phones Standard,Phones,360.4425793875844,2,0.1,0.0518134097015635,15.874395183742678,Fu-Pho-650,10001,5,4.404139824632905,True,2017,8,3,2017-08,344,VIP Customer
25,US-55312-2015,2015-10-04,2015-10-06,Standard Class,CG-2890,Customer_315,Consumer,United States,San Diego,Michigan,West,Office Supplies,Tables Basic,Tables,328.43376730877293,2,0.0,0.0800588451841713,26.2940281302272,Of-Tab-158,77001,2,8.005884518417131,True,2015,10,4,2015-10,444,VIP Customer
26,US-82943-2017,2018-03-30,2018-04-03,Same Day,CG-2626,Customer_782,Corporate,United States,Phoenix,Georgia,Central,Technology,Chairs Basic,Chairs,56.837894280425004,2,0.3,0.0933093826385514,2.9169298541799407,Te-Cha-756,94101,4,5.132016045120329,True,2018,3,1,2018-03,332,Loyal Customer
27,US-90770-2017,2016-04-04,2016-04-08,Standard Class,CG-7646,Customer_329,Consumer,United States,Seattle,North Carolina,East,Furniture,Bookcases Deluxe,Bookcases,368.0103029340449,1,0.0,0.0341735258312982,12.57620959350048,Fu-Boo-829,77001,4,3.4173525831298255,True,2016,4,2,2016-04,143,At-Risk Customer
28,US-32211-2015,2018-08-30,2018-09-02,Same Day,CG-2571,Customer_470,Home Office,United States,Houston,Texas,West,Furniture,Accessories Standard,Accessories,377.5993401252161,1,0.0,0.0548362564143694,20.70613423700305,Fu-Acc-544,10001,3,5.483625641436944,True,2018,8,3,2018-08,444,VIP Customer
29,US-57780-2017,2015-01-22,2015-01-24,First Class,CG-4675,Customer_782,Consumer,United States,Dallas,Texas,South,Office Supplies,Bookcases Premium,Bookcases,231.37607986810016,4,0.0,0.0860443646358209,19.908607784177637,Of-Boo-158,75201,2,8.604436463582093,True,2015,1,1,2015-01,443,VIP Customer
30,US-52503-2016,2015-09-10,2015-09-15,Same Day,CG-6432,Customer_463,Consumer,United States,New York,Michigan,South,Technology,Paper Premium,Paper,76.23205757237842,4,0.0,0.0854539356405397,6.514329341535946,Te-Pap-876,94101,5,8.545393564053974,True,2015,9,3,2015-09,344,VIP Customer
31,US-56193-2017,2017-01-17,2017-01-21,Same Day,CG-5773,Customer_440,Consumer,United States,Los Angeles,North Carolina,East,Technology,Paper Standard,Paper,120.28757204762208,2,0.0,0.0964822663884723,11.605617569521227,Te-Pap-196,60601,4,9.648226638847229,True,2017,1,1,2017-01,332,Loyal Customer
32,US-71358-2016,2017-05-06,2017-05-11,First Class,CG-6044,Customer_664,Home Office,United States,Phoenix,California,East,Office Supplies,Paper Standard,Paper,60.25514037961821,2,0.4,0.0481713907347338,1.1610295644011313,Of-Pap-359,60601,5,1.9268556293893542,True,2017,5,2,2017-05,444,VIP Customer
33,US-88182-2016,2016-04-19,2016-04-24,First Class,CG-5808,Customer_738,Home Office,United States,Seattle,New York,East,Furniture,Computers Premium,Computers,56.12420584734275,3,0.0,0.0568108404280277,3.188463302543171,Fu-Com-337,85001,5,5.681084042802775,True,2016,4,2,2016-04,121,Lost Customer
34,US-32117-2016,2017-12-18,2017-12-22,First Class,CG-4752,Customer_248,Corporate,United States,San Diego,New York,West,Office Supplies,Storage Premium,Storage,410.1929231488388,1,0.0,0.0711752255389949,29.1955738196182,Of-Sto-461,85001,4,7.117522553899488,True,2017,12,4,2017-12,334,VIP Customer
35,US-69056-2015,2016-05-25,2016-05-29,First Class,CG-2328,Customer_171,Home Office,United States,Austin,Pennsylvania,West,Furniture,Computers Premium,Computers,191.8564309208643,2,0.4,0.0337020049865499,2.5863785566386577,Fu-Com-995,75201,4,1.348080199461998,True,2016,5,2,2016-05,132,Lost Customer
36,US-68706-2016,2016-11-30,2016-12-03,First Class,CG-5123,Customer_749,Home Office,United States,Chicago,Ohio,South,Furniture,Computers Pro,Computers,153.39765908521488,4,0.0,0.0453757514462887,6.960534051093248,Fu-Com-627,10001,3,4.537575144628875,True,2016,11,4,2016-11,221,Lost Customer
37,US-19476-2017,2017-09-02,2017-09-04,First Class,CG-2311,Customer_748,Consumer,United States,Phoenix,New York,South,Office Supplies,Storage Deluxe,Storage,179.18645957565496,1,0.0,0.0573341273154354,10.273499286512724,Of-Sto-186,85001,2,5.733412731543542,True,2017,9,3,2017-09,311,New Customer
38,US-65006-2017,2015-07-09,2015-07-10,Standard Class,CG-5450,Customer_771,Corporate,United States,Los Angeles,Georgia,Central,Office Supplies,Bookcases Pro,Bookcases,390.7078185587927,3,0.0,0.0748844773932984,29.25795080625088,Of-Boo-852,94101,1,7.488447739329848,True,2015,7,3,2015-07,133,At-Risk Customer
39,US-79918-2018,2017-08-15,2017-08-17,Standard Class,CG-3725,Customer_279,Corporate,United States,Philadelphia,Texas,West,Technology,Computers Premium,Computers,108.81906128666024,5,0.0,0.0785387208420104,8.546509876682633,Te-Com-509,77001,2,7.8538720842010425,True,2017,8,3,2017-08,311,New Customer
40,US-77321-2017,2016-11-17,2016-11-18,Standard Class,CG-8571,Customer_148,Corporate,United States,Philadelphia,New York,South,Technology,Phones Pro,Phones,724.009418053697,1,0.0,0.055102065747462,39.89441455537656,Te-Pho-149,60601,1,5.5102065747462055,True,2016,11,4,2016-11,444,VIP Customer
41,US-87271-2016,2017-08-15,2017-08-19,Standard Class,CG-3183,Customer_621,Consumer,United States,Houston,Michigan,South,Furniture,Chairs Basic,Chairs,99.99264402104043,1,0.15,0.0437114191914971,3.3873857936241336,Fu-Cha-626,77001,4,3.3876349873410296,True,2017,8,3,2017-08,333,VIP Customer
42,US-92215-2016,2016-07-16,2016-07-21,Standard Class,CG-1153,Customer_143,Home Office,United States,Los Angeles,Texas,Central,Technology,Storage Premium,Storage,283.3875718679548,2,0.0,0.0473034997103633,13.405223923776376,Te-Sto-495,60601,5,4.730349971036336,True,2016,7,3,2016-07,233,At-Risk Customer
43,US-92600-2018,2018-06-21,2018-06-23,First Class,CG-6582,Customer_71,Consumer,United States,Dallas,Texas,East,Office Supplies,Storage Premium,Storage,224.7877408177116,2,0.0,0.0546219819416244,12.2783519196436,Of-Sto-416,90210,2,5.462198194162444,True,2018,6,2,2018-06,434,VIP Customer
44,US-63450-2015,2017-04-11,2017-04-16,Second Class,CG-1815,Customer_311,Corporate,United States,Dallas,Pennsylvania,East,Office Supplies,Chairs Basic,Chairs,227.7137008357296,1,0.1,0.0391449838949982,7.576771779102329,Of-Cha-882,90210,5,3.3273236310748544,True,2017,4,2,2017-04,212,Lost Customer
45,US-57928-2015,2018-02-28,2018-03-02,Standard Class,CG-2119,Customer_638,Consumer,United States,New York,New York,South,Office Supplies,Phones Standard,Phones,439.1557963037855,2,0.4,0.0867263677562366,15.23455483701001,Of-Pho-270,85001,2,3.469054710249463,True,2018,2,1,2018-02,313,New Customer
46,US-55382-2017,2016-10-08,2016-10-14,First Class,CG-3155,Customer_467,Consumer,United States,Los Angeles,New York,West,Technology,Chairs Premium,Chairs,421.55149955672704,4,0.0,0.0927995165085964,39.11977534233808,Te-Cha-482,75201,6,9.279951650859646,True,2016,10,4,2016-10,213,Lost Customer
47,US-95038-2015,2015-01-21,2015-01-23,Same Day,CG-6165,Customer_594,Corporate,United States,Houston,North Carolina,West,Office Supplies,Storage Premium,Storage,432.071420801612,2,0.1,0.0854291655040763,31.374775779655977,Of-Sto-366,75201,2,7.26147906784649,True,2015,1,1,2015-01,123,Lost Customer
48,US-34142-2016,2017-04-20,2017-04-25,First Class,CG-2209,Customer_41,Consumer,United States,New York,California,South,Furniture,Pens Standard,Pens,142.52683642681075,4,0.0,0.0478874156289969,6.825241854256755,Fu-Pen-751,90210,5,4.788741562899699,True,2017,4,2,2017-04,233,At-Risk Customer
49,US-27290-2018,2015-06-16,2015-06-22,First Class,CG-9645,Customer_771,Consumer,United States,Philadelphia,North Carolina,West,Technology,Phones Deluxe,Phones,315.1547790449694,2,0.0,0.0669045122304496,21.08527676909881,Te-Pho-345,77001,6,6.690451223044964,True,2015,6,2,2015-06,143,At-Risk Customer
50,US-10364-2016,2018-07-21,2018-07-24,Standard Class,CG-7428,Customer_356,Consumer,United States,Los Angeles,Texas,South,Furniture,Desks Standard,Desks,98.43373990733048,1,0.0,0.0691659529751943,6.80826342560293,Fu-Des-283,85001,3,6.916595297519433,True,2018,7,3,2018-07,441,Loyal Customer
51,US-29797-2018,2016-01-23,2016-01-27,Standard Class,CG-2106,Customer_144,Consumer,United States,Chicago,Texas,East,Office Supplies,Desks Standard,Desks,188.87348057483268,3,0.1,0.0803358966571851,12.89732235423123,Of-Des-247,85001,4,6.828551215860737,True,2016,1,1,2016-01,344,VIP Customer
52,US-42535-2015,2016-08-23,2016-08-26,Second Class,CG-5416,Customer_683,Corporate,United States,Austin,Illinois,East,Technology,Tables Deluxe,Tables,174.747531278706,1,0.0,0.0866613919662036,15.143864303270371,Te-Tab-750,60601,3,8.666139196620366,True,2016,8,3,2016-08,444,VIP Customer
53,US-57176-2016,2015-11-12,2015-11-15,Standard Class,CG-6264,Customer_279,Home Office,United States,San Diego,Pennsylvania,Central,Office Supplies,Paper Standard,Paper,440.0552743880816,2,0.0,0.0555813967880976,24.45888681445916,Of-Pap-476,10001,3,5.558139678809767,True,2015,11,4,2015-11,334,VIP Customer
54,US-17939-2015,2015-01-14,2015-01-16,Standard Class,CG-2037,Customer_471,Consumer,United States,Houston,Georgia,West,Technology,Tables Pro,Tables,93.31924840333646,1,0.15,0.0595878028196257,4.309533954178609,Te-Tab-301,10001,2,4.618054718520996,True,2015,1,1,2015-01,111,Lost Customer
55,US-52029-2018,2015-08-30,2015-09-03,Same Day,CG-4333,Customer_655,Corporate,United States,Seattle,California,Central,Office Supplies,Chairs Standard,Chairs,586.5253886674323,2,0.0,0.0621165748109255,36.43294818366773,Of-Cha-316,85001,4,6.211657481092554,True,2015,8,3,2015-08,234,At-Risk Customer
56,US-88097-2017,2017-02-15,2017-02-21,First Class,CG-1413,Customer_639,Home Office,United States,New York,Illinois,East,Technology,Tables Premium,Tables,132.92003116100707,1,0.0,0.0590845655269696,7.853522290979373,Te-Tab-481,85001,6,5.908456552696967,True,2017,2,1,2017-02,232,Lost Customer
57,US-20447-2015,2018-10-01,2018-10-03,Standard Class,CG-8904,Customer_58,Corporate,United States,Houston,Michigan,East,Furniture,Paper Premium,Paper,173.69849867127095,2,0.0,0.037076370837792,6.440109950703766,Fu-Pap-411,90210,2,3.707637083779202,True,2018,10,4,2018-10,442,Loyal Customer
58,US-56940-2017,2016-07-18,2016-07-19,Standard Class,CG-2939,Customer_168,Consumer,United States,Seattle,Georgia,West,Furniture,Phones Deluxe,Phones,258.20082608299333,1,0.0,0.0428061174370121,11.052574883642174,Fu-Pho-992,94101,1,4.280611743701219,True,2016,7,3,2016-07,333,VIP Customer
59,US-87947-2016,2017-06-16,2017-06-18,Standard Class,CG-1655,Customer_630,Home Office,United States,Philadelphia,Texas,South,Furniture,Pens Pro,Pens,100.49889728953374,1,0.15,0.0344915423150546,2.68643052557067,Fu-Pen-861,75201,2,2.673094529416735,True,2017,6,2,2017-06,232,Lost Customer
60,US-29642-2017,2018-09-25,2018-10-01,Standard Class,CG-8457,Customer_166,Home Office,United States,Dallas,Michigan,West,Technology,Chairs Deluxe,Chairs,148.1830834731663,1,0.0,0.0748726339436409,11.094857765526363,Te-Cha-354,85001,6,7.487263394364089,True,2018,9,3,2018-09,421,Loyal Customer
61,US-77643-2015,2015-04-02,2015-04-07,First Class,CG-3479,Customer_373,Consumer,United States,Austin,North Carolina,East,Furniture,Software Basic,Software,309.38610990547494,1,0.0,0.0622350795921916,19.254669174685777,Fu-Sof-799,90210,5,6.2235079592191624,True,2015,4,2,2015-04,433,VIP Customer
62,US-58002-2016,2018-10-22,2018-10-24,Standard Class,CG-6639,Customer_82,Consumer,United States,Houston,Michigan,West,Furniture,Storage Pro,Storage,315.65116819427,3,0.0,0.0679125315288223,21.436669912102957,Fu-Sto-129,19101,2,6.7912531528822315,True,2018,10,4,2018-10,422,Loyal Customer
63,US-35017-2015,2017-08-13,2017-08-14,First Class,CG-6921,Customer_134,Home Office,United States,Philadelphia,Florida,South,Furniture,Storage Basic,Storage,529.6403071942814,5,0.0,0.0467994880158844,24.78689520926811,Fu-Sto-764,77001,1,4.679948801588441,True,2017,8,3,2017-08,444,VIP Customer
64,US-23313-2018,2018-12-22,2018-12-24,First Class,CG-7520,Customer_364,Corporate,United States,Los Angeles,Ohio,West,Furniture,Desks Premium,Desks,339.77825980973444,2,0.1,0.0684872382269975,19.77990343035234,Fu-Des-600,60601,2,5.821415249294787,True,2018,12,4,2018-12,444,VIP Customer
65,US-60893-2018,2016-05-23,2016-05-29,Second Class,CG-4606,Customer_485,Consumer,United States,Los Angeles,California,South,Technology,Bookcases Basic,Bookcases,55.09734330799055,3,0.1,0.0874635388250933,4.096157331741238,Te-Boo-481,90210,6,7.434400800132932,True,2016,5,2,2016-05,343,VIP Customer
66,US-90879-2017,2017-02-14,2017-02-15,First Class,CG-6203,Customer_46,Corporate,United States,Philadelphia,Texas,West,Furniture,Pens Pro,Pens,157.4970266206822,4,0.15,0.0323482239673856,3.948430545775421,Fu-Pen-687,19101,1,2.506987357472386,True,2017,2,1,2017-02,221,Lost Customer
67,US-17523-2016,2015-02-04,2015-02-08,Standard Class,CG-5058,Customer_262,Corporate,United States,Austin,California,West,Office Supplies,Binders Deluxe,Binders,318.91423805587294,1,0.4,0.0585257680641097,7.465880291520123,Of-Bin-413,60601,4,2.3410307225643905,True,2015,2,1,2015-02,133,At-Risk Customer
68,US-38439-2017,2015-07-25,2015-07-31,Second Class,CG-6004,Customer_469,Consumer,United States,Chicago,Georgia,East,Furniture,Storage Basic,Storage,339.33107178438746,1,0.15,0.0683934058580724,17.986205977423342,Fu-Sto-477,77001,6,5.3004889540006115,True,2015,7,3,2015-07,122,Lost Customer
69,US-91060-2016,2018-01-09,2018-01-11,Second Class,CG-7468,Customer_635,Corporate,United States,Houston,California,South,Furniture,Software Basic,Software,537.5835832539586,1,0.0,0.0398598497706153,21.428000867651857,Fu-Sof-643,75201,2,3.9859849770615305,True,2018,1,1,2018-01,323,Loyal Customer
70,US-20973-2017,2018-11-12,2018-11-13,Second Class,CG-9015,Customer_222,Corporate,United States,Austin,North Carolina,Central,Technology,Binders Basic,Binders,645.8249096017994,4,0.0,0.0503558002077659,32.52103011710674,Te-Bin-146,75201,1,5.0355800207765995,True,2018,11,4,2018-11,444,VIP Customer
71,US-32694-2017,2017-10-22,2017-10-28,Standard Class,CG-1315,Customer_92,Corporate,United States,Austin,Ohio,South,Furniture,Accessories Deluxe,Accessories,162.00700655291135,1,0.0,0.0415623055068936,6.733384700609425,Fu-Acc-482,75201,6,4.156230550689366,True,2017,10,4,2017-10,311,New Customer
72,US-14302-2016,2017-10-18,2017-10-22,Standard Class,CG-7063,Customer_19,Corporate,United States,Phoenix,Illinois,West,Technology,Pens Basic,Pens,441.6423925622132,2,0.15,0.0812002350191767,27.79263620462452,Te-Pen-607,60601,4,6.293018213986203,True,2017,10,4,2017-10,323,Loyal Customer
73,US-32391-2018,2018-11-14,2018-11-19,Standard Class,CG-9412,Customer_270,Consumer,United States,Austin,California,South,Furniture,Accessories Pro,Accessories,536.7386200963597,5,0.15,0.0629358496645444,26.17957835524315,Fu-Acc-222,94101,5,4.877528349002198,True,2018,11,4,2018-11,444,VIP Customer
74,US-19372-2015,2016-07-19,2016-07-22,Second Class,CG-7041,Customer_577,Consumer,United States,Phoenix,Florida,West,Technology,Desks Standard,Desks,65.74043743447604,2,0.0,0.0742027645653726,4.878122201375035,Te-Des-723,94101,3,7.420276456537264,True,2016,7,3,2016-07,221,Lost Customer
75,US-24080-2017,2018-02-03,2018-02-04,First Class,CG-3261,Customer_731,Consumer,United States,Phoenix,New York,Central,Technology,Pens Basic,Pens,652.3497390393812,1,0.1,0.0826555303065565,45.83226658179724,Te-Pen-982,19101,1,7.025720076057304,True,2018,2,1,2018-02,313,New Customer
76,US-30874-2016,2016-12-03,2016-12-08,Second Class,CG-8639,Customer_669,Consumer,United States,San Diego,Ohio,West,Technology,Tables Premium,Tables,88.58514076896819,4,0.1,0.0983533772876588,7.405750606311096,Te-Tab-989,90210,5,8.360037069451005,True,2016,12,4,2016-12,344,VIP Customer
77,US-83914-2016,2016-02-06,2016-02-10,First Class,CG-1844,Customer_415,Corporate,United States,Philadelphia,California,South,Furniture,Desks Pro,Desks,158.9068709790032,1,0.15,0.0550037991501121,6.773873251548959,Fu-Des-698,10001,4,4.262794434133694,True,2016,2,1,2016-02,432,Loyal Customer
78,US-21600-2018,2016-12-30,2017-01-04,Standard Class,CG-2514,Customer_665,Home Office,United States,Seattle,Michigan,South,Office Supplies,Binders Deluxe,Binders,417.7907757657736,3,0.1,0.064049637361745,22.745445528747958,Of-Bin-559,75201,5,5.444219175748331,True,2016,12,4,2016-12,334,VIP Customer
79,US-89415-2017,2015-06-11,2015-06-13,First Class,CG-2108,Customer_247,Home Office,United States,San Diego,Florida,East,Furniture,Computers Pro,Computers,323.99992699803573,2,0.0,0.0323301860476186,10.474977919261349,Fu-Com-705,85001,2,3.2330186047618628,True,2015,6,2,2015-06,344,VIP Customer
80,US-88553-2018,2015-07-21,2015-07-24,Second Class,CG-6123,Customer_711,Consumer,United States,Seattle,Illinois,East,Office Supplies,Tables Premium,Tables,449.6032563510603,3,0.0,0.0708722849132793,31.864410082050505,Of-Tab-766,60601,3,7.087228491327932,True,2015,7,3,2015-07,133,At-Risk Customer
81,US-94500-2015,2017-09-22,2017-09-23,Standard Class,CG-2730,Customer_743,Corporate,United States,Los Angeles,New York,Central,Technology,Software Pro,Software,131.93839158124285,2,0.0,0.0777796839375743,10.262126396420983,Te-Sof-805,90210,1,7.77796839375743,True,2017,9,3,2017-09,311,New Customer
82,US-34714-2017,2015-09-27,2015-10-03,Second Class,CG-4185,Customer_302,Consumer,United States,Austin,Illinois,South,Technology,Bookcases Basic,Bookcases,382.2317428934591,3,0.0,0.0948216131950117,36.24383047549874,Te-Boo-478,10001,6,9.48216131950117,True,2015,9,3,2015-09,344,VIP Customer
83,US-71509-2015,2017-03-26,2017-03-30,Second Class,CG-2238,Customer_16,Consumer,United States,Philadelphia,Florida,Central,Furniture,Binders Deluxe,Binders,440.85303876304016,2,0.0,0.051018427642413,22.491628859070065,Fu-Bin-381,77001,4,5.101842764241302,True,2017,3,1,2017-03,213,Lost Customer
84,US-14725-2016,2018-07-18,2018-07-21,Standard Class,CG-6455,Customer_620,Consumer,United States,Austin,Illinois,South,Office Supplies,Binders Deluxe,Binders,327.2659496881536,1,0.0,0.0516229436467434,16.894431678249536,Of-Bin-776,90210,3,5.162294364674346,True,2018,7,3,2018-07,422,Loyal Customer
85,US-30684-2016,2016-03-31,2016-04-04,First Class,CG-3924,Customer_503,Home Office,United States,New York,North Carolina,Central,Office Supplies,Paper Premium,Paper,281.21084846412754,1,0.0,0.0463896215096019,13.045264824644908,Of-Pap-794,85001,4,4.638962150960197,True,2016,3,1,2016-03,133,At-Risk Customer
86,US-67911-2017,2018-06-29,2018-07-04,Same Day,CG-7796,Customer_395,Corporate,United States,Los Angeles,Georgia,Central,Furniture,Pens Standard,Pens,481.80428051913583,1,0.0,0.0574761810690906,27.692270066980804,Fu-Pen-789,94101,5,5.747618106909067,True,2018,6,2,2018-06,443,VIP Customer
87,US-23092-2017,2017-10-13,2017-10-17,Standard Class,CG-7039,Customer_786,Consumer,United States,San Diego,Georgia,East,Technology,Storage Deluxe,Storage,344.5445347395301,1,0.4,0.0721275334590209,9.940458983019305,Te-Sto-216,10001,4,2.885101338360838,True,2017,10,4,2017-10,322,Loyal Customer
88,US-49770-2016,2015-10-23,2015-10-27,Standard Class,CG-4566,Customer_696,Corporate,United States,Los Angeles,Texas,East,Office Supplies,Phones Standard,Phones,75.68006173169813,1,0.4,0.0702723539586785,2.127286434249813,Of-Pho-610,90210,4,2.810894158347141,True,2015,10,4,2015-10,144,At-Risk Customer
